75.3	84.5	85.0	69.0	75.0	94.1	84.5	79.2
48.9	32.2	43.5	50.0	53.7	36.5	12.5	30.0
51.0	56.1	0	45.2	60.0	0	47.2	70.0
63.7	57.5	74.0	0	51.2	66.9	0	49.4
68.6	42.8	63.0	100.0	80.4	35.8	100.0	69.8
51.0	46.2	56.2	100.0	33.3	48.5	16.7	36.9
63.5	69.0	100.0	51.9	40.5	96.3	59.3	52.4
58.5	44.2	66.2	0.0	48.7	40.6	0.0	55.1
77.8	77.8	100.0	0	0.0	100.0	0	0.0
62.4	64.8	76.4	33.3	46.5	71.7	5.6	60.2
25.0	18.8	0.0	0.0	100.0	0.0	0.0	75.0
56.4	48.1	61.9	47.4	54.4	49.2	45.6	47.6
59.6	57.6	71.1	56.0	43.4	67.4	65.5	38.9
53.3	52.5	32.5	50.0	72.0	34.8	64.3	59.5
54.5	52.2	55.3	64.0	50.0	55.3	73.3	41.8
70.2	75.8	78.0	63.6	65.9	84.3	64.6	72.0
67.6	62.0	74.3	0.0	58.9	67.2	0.0	54.3
73.5	79.6	66.7	75.0	73.9	100.0	81.2	76.3
59.2	54.1	46.0	74.5	60.5	43.4	68.1	55.0
62.6	62.7	43.5	64.4	68.4	42.9	62.9	74.0
60.9	66.2	13.3	64.2	66.0	9.7	62.6	77.9
63.4	54.1	65.3	75.0	56.4	52.2	50.0	62.2
71.2	62.2	94.3	31.0	58.2	69.5	34.5	61.9
57.4	63.0	73.8	55.7	50.6	78.6	71.5	51.6
67.1	69.1	0.0	69.0	67.9	0.0	80.4	58.6
63.0	62.6	65.8	50.0	64.0	49.7	44.9	76.7
83.3	69.6	84.7	0	73.3	69.2	0	73.3
55.6	37.5	78.6	0.0	33.3	35.6	0.0	43.7
74.5	84.6	92.9	69.2	65.9	100.0	77.7	78.9
69.9	66.8	93.5	65.7	61.4	95.9	72.6	55.1
46.8	50.3	0	48.6	44.0	0	45.3	58.7
76.1	63.6	83.2	43.8	71.2	66.5	56.2	59.7
53.7	48.4	53.7	60.0	53.0	53.4	52.2	43.2
54.9	57.1	0.0	58.5	59.2	0.0	57.3	64.2
64.6	46.6	66.7	66.7	61.4	44.7	41.7	49.8
83.8	60.2	87.9	0	50.0	60.9	0	50.0
50.0	55.4	30.0	50.0	60.0	40.0	67.8	52.6
67.5	63.7	82.4	55.3	58.4	74.0	57.0	55.3
55.1	54.2	80.4	25.6	56.0	68.5	30.4	58.8
52.9	44.5	55.8	0	44.4	42.4	0	52.5
57.4	47.8	62.2	25.0	47.8	48.1	3.6	49.0
67.9	58.2	59.0	78.6	68.5	56.8	83.6	53.7
